drugBankID,name,CAS,drugType,KEGGC_ID,KEGGD_ID,PCCID,PCSID,chemID,pharID,HETID,uniprotID,uniprotTitle,genbankID,dpdID,rxlistlink,pdrhealthlink,wikiID,drugslink,ndcid,chemspider,binding,ttd,sideeffect,interaction,professional,interactionContent,professionalContent,overview,sideeffectContent,drugClass,drugID
DB00002,cetuximab,205923-56-4,BiotechDrug,,,,,,PA10040,,,,J00228,,http://www.rxlist.com/cgi/generic3/erbitux.htm,,Cetuximab,http://www.drugs.com/cdi/cetuximab.html,66733-948-23,,,DNC000788,http://drugs.com/sfx/cetuximab-side-effects.html,http://drugs.com/drug-interactions/cetuximab-index.html?filter=3&generic_only=1,http://drugs.com/ppa/cetuximab.html,DB00002i.txt,DB00002p.txt,NULL,DB00002s.txt,,
DB00003,dornase alfa,9003-98-9,BiotechDrug,,,,,,PA10318,,P24855,DNAS1_HUMA,M55983,,http://www.rxlist.com/cgi/generic/pulmozyme.htm,,Dornase_alfa,http://www.drugs.com/cdi/dornase-alfa.html,,,,DAP000981,http://drugs.com/sfx/dornase-alfa-side-effects.html,http://drugs.com/drug-interactions/dornase-alfa-index.html?filter=3&generic_only=1,http://drugs.com/ppa/dornase-alfa-recombinant-human-deoxyribonuclease-dnase.html,DB00003i.txt,DB00003p.txt,NULL,DB00003s.txt,,
DB00004,denileukin diftitox,173146-27-5,BiotechDrug,,,,,,PA16475059,,P00587,DTX_COROM,V01536,,http://www.rxlist.com/cgi/generic2/denileukin.htm,,Denileukin_diftitox,http://www.drugs.com/cdi/denileukin-diftitox.html,62856-603-01,,,DAP001098,http://drugs.com/sfx/denileukin-diftitox-side-effects.html,http://drugs.com/drug-interactions/denileukin-diftitox-index.html?filter=3&generic_only=1,http://drugs.com/ppa/denileukin-diftitox.html,DB00004i.txt,DB00004p.txt,NULL,DB00004s.txt,,
DB00005,etanercept,185243-69-0,BiotechDrug,C07897,D00742,,,,PA449515,,P20333,TNR1B_HUMA,M32315,,http://www.rxlist.com/cgi/generic/etanercept.htm,,Etanercept,http://www.drugs.com/cdi/etanercept.html,58406-455-04,,,DNC000605,http://drugs.com/sfx/etanercept-side-effects.html,http://drugs.com/drug-interactions/etanercept-index.html?filter=3&generic_only=1,http://drugs.com/ppa/etanercept.html,DB00005i.txt,DB00005p.txt,NULL,DB00005s.txt,,
DB00006,bivalirudin,128270-60-0,BiotechDrug,,D03136,,,,PA10032,,,,,,http://www.rxlist.com/cgi/generic/angiomax.htm,,Bivalirudin,http://www.drugs.com/cdi/bivalirudin.html,65293-001-01,,,DAP000542,http://drugs.com/sfx/bivalirudin-side-effects.html,http://drugs.com/drug-interactions/bivalirudin-index.html?filter=3&generic_only=1,http://drugs.com/ppa/bivalirudin.html,DB00006i.txt,DB00006p.txt,NULL,DB00006s.txt,Thrombin inhibitors,
DB00007,leuprolide,53714-56-0,BiotechDrug,C07612,D08113,,,6427,PA450203,,,,,,http://www.rxlist.com/cgi/generic/eligard.htm,,Leuprolide,http://www.drugs.com/cdi/leuprolide.html,0024-0793-75,,,DAP000020,http://drugs.com/sfx/leuprolide-side-effects.html,http://drugs.com/drug-interactions/leuprolide-index.html?filter=3&generic_only=1,http://drugs.com/pro/leuprolide.html,DB00007i.txt,DB00007p.txt,NULL,DB00007s.txt,Gonadotropin releasing hormones,
DB00008,peginterferon alfa-2a,198153-51-4,BiotechDrug,,,,,,PA16474939,,P01563,IFNA2_HUMA,J00207,,http://www.rxlist.com/cgi/generic3/pegasys.htm,,Peginterferon_alfa-2a,http://www.drugs.com/cdi/peginterferon-alfa-2a.html,,,,DAP001278,http://drugs.com/sfx/peginterferon-alfa-2a-side-effects.html,http://drugs.com/drug-interactions/peginterferon-alfa-2a-index.html?filter=3&generic_only=1,http://drugs.com/ppa/peginterferon-alfa-2a.html,DB00008i.txt,DB00008p.txt,NULL,DB00008s.txt,Antiviral interferons,
DB00009,alteplase,105857-23-6,BiotechDrug,,D02837,,,,PA16477673,,P00750,TPA_HUMAN,L00153,,http://www.rxlist.com/cgi/generic/alteplas.htm,,Alteplase,http://www.drugs.com/cdi/alteplase.html,,,,DAP000203,http://drugs.com/sfx/alteplase-side-effects.html,http://drugs.com/drug-interactions/alteplase-index.html?filter=3&generic_only=1,http://drugs.com/ppa/alteplase-recombinant.html,DB00009i.txt,DB00009p.txt,NULL,DB00009s.txt,Thrombolytics,
DB00010,sermorelin,86168-78-7,BiotechDrug,C08192,,,,,PA16474911,,,,,,http://www.rxlist.com/cgi/generic2/sermorelin.htm,,Sermorelin,http://www.drugs.com/cdi/sermorelin-acetate.html,,,,DAP001055,http://drugs.com/sfx/sermorelin-side-effects.html,http://www.drugs.com/drug-interactions/iodine-i-131-tositumomab-index.html?filter=3&generic_only=1,NULL,DB00010i.txt,NULL,NULL,DB00010s.txt,Growth hormones,
DB00011,interferon alfa-n1,74899-72-2,BiotechDrug,,,,,,PA16474653,,P01563,IFNA2_HUMA,J00207,,,,,,,,,DAP001280,NULL,http://www.drugs.com/drug-interactions/iodine-i-131-tositumomab-index.html?filter=3&generic_only=1,NULL,NULL,NULL,NULL,NULL,,
DB00012,darbepoetin alfa,11096-26-7,BiotechDrug,,,,,,PA16474313,,P01588,EPO_HUMAN,X02158,,http://www.rxlist.com/cgi/generic/aranesp.htm,,Darbepoetin_alfa,http://www.drugs.com/cdi/darbepoetin-alfa-albumin.html,,,,DAP000800,http://drugs.com/sfx/darbepoetin-alfa-side-effects.html,http://drugs.com/drug-interactions/darbepoetin-alfa-index.html?filter=3&generic_only=1,http://drugs.com/ppa/darbepoetin-alfa.html,DB00012i.txt,DB00012p.txt,NULL,DB00012s.txt,Recombinant human erythropoietins,
DB00013,urokinase,9039-53-6,BiotechDrug,,,,,,PA451836,,P00749,UROK_HUMAN,X02419,,http://www.rxlist.com/cgi/pharmclips2.cgi?keyword=%20Abbokinase%AE,,Urokinase,http://www.drugs.com/mtm/urokinase.html,24430-1003-1,,,DAP001194,http://drugs.com/sfx/urokinase-side-effects.html,http://drugs.com/drug-interactions/urokinase-index.html?filter=3&generic_only=1,http://drugs.com/monograph/urokinase.html,DB00013i.txt,DB00013p.txt,NULL,DB00013s.txt,Thrombolytics,
DB00014,goserelin,65807-02-5,SmallMoleculeDrug,,D00573,,,,PA16474767,,,,,,http://www.rxlist.com/cgi/generic/goserel.htm,,Goserelin,http://www.drugs.com/cdi/goserelin.html,0310-0951-30,,,DAP000023,http://drugs.com/sfx/goserelin-side-effects.html,http://drugs.com/drug-interactions/goserelin-index.html?filter=3&generic_only=1,http://drugs.com/pro/zoladex-3-month.html,DB00014i.txt,DB00014p.txt,NULL,DB00014s.txt,Gonadotropin releasing hormones,
